n partitions	n workers	list size	perc globals	perc writes	n ops	cos size	TP
6	14	1000	1	0	10000000	150	205660
6	15	1000	1	0	10000000	150	220171
6	16	1000	1	0	10000000	150	211296
6	17	1000	1	0	10000000	150	226465
6	18	1000	1	0	10000000	150	217200
6	19	1000	1	0	10000000	150	211701
6	20	1000	1	0	10000000	150	223950
6	21	1000	1	0	10000000	150	231255
6	22	1000	1	0	10000000	150	228899
6	23	1000	1	0	10000000	150	194028
6	24	1000	1	0	10000000	150	202037
6	26	1000	1	0	10000000	150	221679
2	1	1000	5	0	10000000	150	266007
2	2	1000	5	0	10000000	150	365756
2	3	1000	5	0	10000000	150	398245
2	4	1000	5	0	10000000	150	392731
2	5	1000	5	0	10000000	150	397355
2	6	1000	5	0	10000000	150	447877
2	7	1000	5	0	10000000	150	362966
2	8	1000	5	0	10000000	150	402956
2	9	1000	5	0	10000000	150	370350
2	10	1000	5	0	10000000	150	381205
2	11	1000	5	0	10000000	150	360462
2	12	1000	5	0	10000000	150	407715
2	13	1000	5	0	10000000	150	406596
2	14	1000	5	0	10000000	150	428460
2	15	1000	5	0	10000000	150	419539
2	16	1000	5	0	10000000	150	365507
2	17	1000	5	0	10000000	150	461090
2	18	1000	5	0	10000000	150	417229
2	19	1000	5	0	10000000	150	429508
2	20	1000	5	0	10000000	150	422119
2	21	1000	5	0	10000000	150	424287
2	22	1000	5	0	10000000	150	416349
2	23	1000	5	0	10000000	150	417207
2	24	1000	5	0	10000000	150	436629
2	26	1000	5	0	10000000	150	420027
4	1	1000	5	0	10000000	150	236800
4	2	1000	5	0	10000000	150	252391
4	3	1000	5	0	10000000	150	246907
4	4	1000	5	0	10000000	150	241935
4	5	1000	5	0	10000000	150	221488
4	6	1000	5	0	10000000	150	226818
4	7	1000	5	0	10000000	150	225904
4	8	1000	5	0	10000000	150	237183
4	9	1000	5	0	10000000	150	221072
4	10	1000	5	0	10000000	150	232740
4	11	1000	5	0	10000000	150	243203
4	12	1000	5	0	10000000	150	237564
4	13	1000	5	0	10000000	150	220320
4	14	1000	5	0	10000000	150	225134
4	15	1000	5	0	10000000	150	221038
4	16	1000	5	0	10000000	150	236560
4	17	1000	5	0	10000000	150	239180
4	18	1000	5	0	10000000	150	239931
4	19	1000	5	0	10000000	150	228467
4	20	1000	5	0	10000000	150	219632
4	21	1000	5	0	10000000	150	219338
4	22	1000	5	0	10000000	150	236159
4	23	1000	5	0	10000000	150	229040
4	24	1000	5	0	10000000	150	225289
4	26	1000	5	0	10000000	150	220391
6	1	1000	5	0	10000000	150	199863
6	2	1000	5	0	10000000	150	196639
6	3	1000	5	0	10000000	150	201795
6	4	1000	5	0	10000000	150	185627
6	5	1000	5	0	10000000	150	180368
6	6	1000	5	0	10000000	150	188483
6	7	1000	5	0	10000000	150	189803
6	8	1000	5	0	10000000	150	189344
6	9	1000	5	0	10000000	150	191525
6	10	1000	5	0	10000000	150	185106
6	11	1000	5	0	10000000	150	184285
6	12	1000	5	0	10000000	150	188195
6	13	1000	5	0	10000000	150	182777
6	14	1000	5	0	10000000	150	184813
6	15	1000	5	0	10000000	150	184574
6	16	1000	5	0	10000000	150	182369
6	17	1000	5	0	10000000	150	187192
6	18	1000	5	0	10000000	150	191399
6	19	1000	5	0	10000000	150	205832
6	20	1000	5	0	10000000	150	169739
6	21	1000	5	0	10000000	150	188602
6	22	1000	5	0	10000000	150	186211
6	23	1000	5	0	10000000	150	189105
6	24	1000	5	0	10000000	150	191518
6	26	1000	5	0	10000000	150	183368
2	1	1000	0	10	10000000	150	199029
2	2	1000	0	10	10000000	150	351819
2	3	1000	0	10	10000000	150	382336
2	4	1000	0	10	10000000	150	394409
2	5	1000	0	10	10000000	150	407260
2	6	1000	0	10	10000000	150	388311
2	7	1000	0	10	10000000	150	331666
2	8	1000	0	10	10000000	150	368189
2	9	1000	0	10	10000000	150	342428
2	10	1000	0	10	10000000	150	333303
2	11	1000	0	10	10000000	150	326978
2	12	1000	0	10	10000000	150	330903
2	13	1000	0	10	10000000	150	340348
2	14	1000	0	10	10000000	150	373511
2	15	1000	0	10	10000000	150	356398
2	16	1000	0	10	10000000	150	398852
2	17	1000	0	10	10000000	150	331103
2	18	1000	0	10	10000000	150	352776
2	19	1000	0	10	10000000	150	381951
2	20	1000	0	10	10000000	150	366408
2	21	1000	0	10	10000000	150	354407
2	22	1000	0	10	10000000	150	346998
2	23	1000	0	10	10000000	150	360298
2	24	1000	0	10	10000000	150	380844
2	26	1000	0	10	10000000	150	385104
4	1	1000	0	10	10000000	150	232544
4	2	1000	0	10	10000000	150	302981
4	3	1000	0	10	10000000	150	278190
4	4	1000	0	10	10000000	150	285817
4	5	1000	0	10	10000000	150	239521
4	6	1000	0	10	10000000	150	248144
4	7	1000	0	10	10000000	150	232844
4	8	1000	0	10	10000000	150	268470
4	9	1000	0	10	10000000	150	247135
4	10	1000	0	10	10000000	150	264833
4	11	1000	0	10	10000000	150	264810
4	12	1000	0	10	10000000	150	265098
4	13	1000	0	10	10000000	150	241729
4	14	1000	0	10	10000000	150	261982
4	15	1000	0	10	10000000	150	264180
